Frame Offset; Left Frame Index; Right Frame Index; Left Frame Time (ms); Left time from first frame (ms); Right Frame Time (ms); Right time from first frame (ms); Frame Time Diff (ms)
74;75;75;1.166041;1344.73647493124;1.801333;255.489953279495;0.6352919
75;76;76;1.476125;1345.90251594782;1.482375;257.291286230087;0.006250024
76;77;77;0.964209;1347.37864094973;1.520083;258.773661255836;0.5558739
77;78;78;1.342167;1348.34284996986;1.813917;260.293744206429;0.47175
78;79;79;1.128875;1349.68501698971;1.469459;262.107661247253;0.3405839
79;80;80;1.25825;1350.81389200687;1.698666;263.577120184898;0.440416
80;81;81;1.10575;1352.07214200497;1.39075;265.275786161423;0.2850001
81;82;82;1.393208;1353.17789196968;1.423958;266.666536211967;0.03074992
82;83;83;1.982666;1354.57109999657;1.557875;268.090494155884;-0.424791
83;84;84;2.05175;1356.55376601219;2.366833;269.648369193077;0.315083
84;85;85;2.205167;1358.60551595688;1.89075;272.01520216465;-0.314417
85;86;86;1.999416;1360.81068301201;1.697375;273.905952215195;-0.3020411
86;87;87;1.983375;1362.8100990057;1.67575;275.603327155113;-0.3076249
87;88;88;2.07975;1364.79347395897;1.628625;277.279077172279;-0.451125
88;89;89;2.1335;1366.87322402;1.76425;278.907702207565;-0.3692501
89;90;90;2.144167;1369.00672411919;1.694958;280.67195224762;-0.449209
90;91;91;1.183917;1371.1508910656;1.594;282.366910219193;0.4100829
91;92;92;1.362958;1372.33480811119;1.696334;283.960910201073;0.333376
92;93;93;1.833458;1373.6977660656;1.741292;285.657244205475;-0.09216595
93;94;94;1.395042;1375.53122401237;1.996291;287.398536205292;0.6012491
94;95;95;1.405291;1376.92626595497;1.911584;289.394827246666;0.5062931
95;96;96;1.165375;1378.33155691624;1.857709;291.306411266327;0.6923341
96;97;97;2.221;1379.49693191051;2.189834;293.164120316505;-0.03116608
97;98;98;1.61275;1381.71793186665;1.877584;295.353954195976;0.2648339
98;99;99;1.671417;1383.33068192005;2.061541;297.231538176537;0.3901241
99;100;100;0.930375;1385.00209891796;1.914;299.293079257011;0.9836251
100;101;101;1.195125;1385.93247389793;1.982625;301.207079291344;0.7875
101;102;102;1.458833;1387.12759888172;1.7875;303.189704298973;0.328667
102;103;103;1.368042;1388.58643186092;2.393709;304.977204322815;1.025667
103;104;104;2.985542;1389.95447385311;2.291291;307.370913267136;-0.6942511
104;105;105;0.915416;1392.94001591206;1.976625;309.662204265594;1.061209
105;106;106;1.305875;1393.85543191433;1.725583;311.638829231262;0.419708
106;107;107;1.700667;1395.16130685806;2.252542;313.36441218853;0.551875
107;108;108;2.17175;1396.86197388172;2.1745;315.61695420742;0.00274992
108;109;109;2.107291;1399.03372395039;2.041542;317.791454195976;-0.06574893
109;110;110;1.861125;1401.14101493359;1.863791;319.832996249199;0.002665997
110;111;111;2.093584;1403.00213992596;2.176625;321.696787238121;0.08304095
111;112;112;1.812833;1405.09572398663;2.134959;323.873412251472;0.322126
112;113;113;1.925583;1406.90855693817;1.987125;326.00837123394;0.06154203
113;114;114;2.098292;1408.83413994312;2.006917;327.995496273041;-0.09137511
114;115;115;1.896625;1410.93243205547;1.999417;330.002413272858;0.1027919
115;116;116;1.802958;1412.82905709743;1.990583;332.001830220222;0.1876249
116;117;117;1.479;1414.63201510906;1.986958;333.992413163185;0.5079581
117;118;118;1.422042;1416.11101508141;1.887167;335.979371190071;0.465125
118;119;119;1.486416;1417.53305709362;2.154708;337.866538167;0.6682919
119;120;120;1.517125;1419.01947307587;1.97675;340.02124607563;0.459625
120;121;121;1.799958;1420.53659808636;1.905625;341.997996091843;0.105667
121;122;122;1.506333;1422.336556077;1.888916;343.903621077538;0.382583
122;123;123;1.4795;1423.84288907051;1.999792;345.792537093163;0.5202919
123;124;124;1.503375;1425.32238912582;1.8695;347.792329072952;0.366125
124;125;125;1.501708;1426.82576417923;1.887375;349.66182911396;0.385667
125;126;126;1.896917;1428.32747220993;2.012709;351.549204111099;0.1157919
126;127;127;1.587125;1430.22438919544;1.943208;353.561913013458;0.356083
127;128;128;1.809375;1431.81151413918;2.31375;355.505120992661;0.504375
128;129;129;1.806584;1433.62088918686;1.8035;357.818871021271;-0.003084064
129;130;130;1.603166;1435.42747318745;1.9905;359.622370958328;0.387334
130;131;131;1.959583;1437.0306391716;1.916583;361.612870931625;-0.0430001
131;132;132;6.3715;1438.99022221565;1.994625;363.529453873634;-4.376875
132;133;133;23.661;1445.36172223091;1.983541;365.524078845978;-21.67746
133;134;134;23.42812;1469.02272152901;1.996333;367.507619857788;-21.43179
134;135;135;7.382042;1492.45084500313;1.979834;369.503952860832;-5.402208
135;136;136;3.543459;1499.83288693428;2.07775;371.483786821365;-1.465709
136;137;137;2.184709;1503.37634587288;1.9555;373.56153678894;-0.2292091
137;138;138;1.884209;1505.56105494499;1.876125;375.517036795616;-0.008084059
138;139;139;2.161792;1507.44526398182;1.798375;377.393161773682;-0.363417
139;140;140;1.957958;1509.60705602169;2.191334;379.191536784172;0.233376
140;141;141;2.37775;1511.56501400471;2.101834;381.382870793343;-0.2759159
141;142;142;1.8265;1513.9427639246;2.065375;383.484704852104;0.2388752
142;143;143;2.157583;1515.76926386356;1.859667;385.55007994175;-0.2979161
143;144;144;1.821292;1517.92684686184;2.500583;387.4097468853;0.6792909
144;145;145;2.225333;1519.74813890457;1.860125;389.910329818726;-0.365208
145;146;146;2.1725;1521.97347187996;1.987167;391.770454764366;-0.1853329
146;147;147;2.184708;1524.14597177505;2.304542;393.757621765137;0.1198342
147;148;148;2.005291;1526.33067965508;2.126083;396.062163829803;0.1207919
148;149;149;2.230542;1528.33597064018;2.200042;398.18824672699;-0.03049994
149;150;150;1.878709;1530.56651258469;1.94125;400.388288736343;0.06254101
150;151;151;1.962584;1532.44522154331;1.923917;402.329538702965;-0.03866708
151;152;152;1.926583;1534.40780556202;1.849333;404.253455638885;-0.07725
152;153;153;2.10925;1536.3343886137;1.98025;406.102788686752;-0.1290001
153;154;154;1.9805;1538.44363868237;2.147458;408.083038687706;0.1669581
154;155;155;2.896375;1540.4241386652;1.78175;410.230496764183;-1.114625
155;156;156;2.109333;1543.32051360607;2.169125;412.012246727943;0.05979204
156;157;157;2.089625;1545.4298466444;1.995833;414.181371808052;-0.09379184
157;158;158;1.892333;1547.51947152615;1.947791;416.177204847336;0.05545795
158;159;159;1.97925;1549.41180455685;2.04475;418.124995827675;0.06550002
159;160;160;1.924416;1551.39105451107;2.075875;420.169745802879;0.1514591
160;161;161;2.556542;1553.31547045708;2.1385;422.245620846748;-0.4180419
161;162;162;1.570292;1555.87201237679;1.888375;424.384120821953;0.318083
162;163;163;1.976125;1557.44230437279;1.9355;426.272495865822;-0.04062498
163;164;164;1.94975;1559.41842937469;3.514333;428.207995891571;1.564583
164;165;165;2.137666;1561.36817932129;0.758875;431.722328901291;-1.378791
165;166;166;688.8101;1563.5058453083;2.102708;432.481203913689;-686.7074
166;167;167;32.08221;2252.31596493721;1.948209;434.583912014961;-30.134
167;168;168;45.34071;2284.39817166328;3.613833;436.532121062279;-41.72688
168;169;169;65.13671;2329.73888134956;0.879458;440.145954012871;-64.25726
169;170;170;60.06042;2394.87559247017;1.84775;441.025412023067;-58.21267
170;171;171;66.44441;2454.93600964546;1.94825;442.873161971569;-64.49616
171;172;172;55.82675;2521.38042187691;3.470709;444.821411907673;-52.35604
172;173;173;37.18962;2577.20717358589;28.14646;448.292120993137;-9.043165
173;174;174;2.890167;2614.39679837227;58.25929;476.438580572605;55.36913
174;175;175;1.587792;2617.28696537018;44.97659;534.697873175144;43.38879
175;176;176;1.68775;2618.8747574091;44.40421;579.674458563328;42.71646
176;177;177;1.781417;2620.56250739098;19.49146;624.078667700291;17.71004
177;178;178;1.623375;2622.34392440319;9.711542;643.570126593113;8.088167
178;179;179;2.334083;2623.96729934216;3.875;653.28166872263;1.540917
179;180;180;1.588167;2626.30138242245;2.600209;657.15666872263;1.012042
180;181;181;1.68025;2627.88954937458;0.961458;659.756877720356;-0.718792
181;182;182;1.68925;2629.56979942322;1.533583;660.718335747719;-0.1556669
182;183;183;1.665;2631.25904941559;1.244875;662.251918792725;-0.420125
183;184;184;1.711042;2632.92404937744;1.458;663.496793746948;-0.2530421
184;185;185;1.760208;2634.63509142399;1.038375;664.954793691635;-0.721833
185;186;186;1.556333;2636.39529943466;1.309708;665.993168711662;-0.2466249
186;187;187;1.707416;2637.95163238049;1.296834;667.302876710892;-0.4105819
187;188;188;1.728125;2639.65904831886;1.043166;668.599710702896;-0.6849589
188;189;189;1.709333;2641.38717329502;1.100167;669.64287674427;-0.6091659
189;190;190;1.661583;2643.09650623798;1.192333;670.743043780327;-0.46925
190;191;191;1.727708;2644.75808918476;1.361084;671.935376763344;-0.366624
191;192;192;1.7955;2646.48579716682;1.193083;673.296460747719;-0.602417
192;193;193;1.658084;2648.28129720688;1.160833;674.489543795586;-0.497251
193;194;194;1.813458;2649.9393812418;1.104042;675.650376796722;-0.7094159
194;195;195;1.695541;2651.75283920765;1.204375;676.754418849945;-0.491166
195;196;196;1.890833;2653.44838023186;1.203542;677.958793878555;-0.687291
196;197;197;1.762708;2655.33921325207;1.074541;679.16233587265;-0.688167
197;198;198;1.641292;2657.10192120075;1.451458;680.23687684536;-0.189834
198;199;199;1.8675;2658.74321317673;1.212708;681.688334822655;-0.654792
199;200;200;1.508875;2660.61071312428;2.089667;682.901042819023;0.5807921
200;201;201;1.582792;2662.11958813667;1.179291;684.990709900856;-0.403501
201;202;202;1.435125;2663.70238018036;1.098208;686.170000910759;-0.336917
202;203;203;1.364875;2665.13750517368;1.222959;687.268208861351;-0.1419159
203;204;204;1.237584;2666.50238013268;2.197084;688.491167902946;0.9595
204;205;205;1.286;2667.73996412754;2.041084;690.688251852989;0.755084
205;206;206;1.091375;2669.02596414089;2.102459;692.729335904121;1.011084
206;207;207;1.236917;2670.11733913422;1.859375;694.831794857979;0.622458
207;208;208;1.651209;2671.35425615311;2.389375;696.691169857979;0.738166
208;209;209;1.623458;2673.00546514988;3.338709;699.080544829369;1.715251
209;210;210;1.192667;2674.62892317772;0.85975;702.419253706932;-0.332917
210;211;211;1.176917;2675.82159018517;2.104083;703.279003679752;0.9271661
211;212;212;1.126625;2676.99850714207;2.284917;705.383086740971;1.158292
212;213;213;1.189083;2678.12513208389;2.435333;707.668003618717;1.24625
213;214;214;1.367792;2679.31421506405;1.9735;710.103336632252;0.605708
214;215;215;1.048875;2680.68200707436;2.091583;712.076836645603;1.042708
215;216;216;1.203208;2681.73088204861;3.314417;714.168419659138;2.111209
216;217;217;2.915375;2682.93409001827;0.955666;717.482836544514;-1.959709
217;218;218;0.933375;2685.84946501255;1.457833;718.438502550125;0.5244581
218;219;219;1.088417;2686.7828400135;1.320084;719.896335601807;0.2316669
219;220;220;1.676917;2687.87125706673;1.048916;721.216419577599;-0.628001
220;221;221;1.3555;2689.54817402363;1.322792;722.265335559845;-0.03270793
221;222;222;1.517834;2690.90367400646;1.313833;723.588127613068;-0.2040009
222;223;223;1.460583;2692.4215079546;1.171333;724.901960611343;-0.28925
223;224;224;1.543375;2693.88209092617;1.308917;726.073293566704;-0.234458
224;225;225;1.674791;2695.42546594143;1.241708;727.382210612297;-0.4330829
225;226;226;1.431834;2697.10025691986;1.113833;728.623918652534;-0.318001
226;227;227;2.41075;2698.53209090233;2.123875;729.737751603127;-0.286875
227;228;228;1.395958;2700.94284081459;1.819542;731.861626505852;0.4235841
228;229;229;1.482417;2702.33879876137;2.414875;733.681168556213;0.932458
229;230;230;1.347708;2703.82121574879;7.399041;736.096043586731;6.051333
230;231;231;1.197125;2705.16892373562;1.401583;743.495084762573;0.204458
231;232;232;1.255666;2706.36604869366;2.213792;744.896667718887;0.9581261
232;233;233;1.209042;2707.62171471119;1.49275;747.110459804535;0.2837081
233;234;234;1.3145;2708.83075666428;2.919125;748.603209853172;1.604625
234;235;235;1.32075;2710.14525663853;1.006458;751.522334933281;-0.314292
235;236;236;1.132583;2711.46600663662;1.3755;752.528792977333;0.2429169
236;237;237;1.334542;2712.59858965874;1.519375;753.904292941093;0.1848329
237;238;238;1.361333;2713.93313169479;1.417583;755.423667907715;0.05624998
238;239;239;1.280375;2715.29446470737;1.773709;756.841250896454;0.4933339
239;240;240;1.141792;2716.57483971119;1.231291;758.614959836006;0.08949912
240;241;241;1.29225;2717.71663165092;1.557625;759.846250891685;0.265375
241;242;242;1.177792;2719.00888168812;1.263625;761.403875946999;0.08583307
242;243;243;1.940291;2720.1866736412;1.449208;762.667500972748;-0.491083
243;244;244;1.579625;2722.1269646883;1.898917;764.116708993912;0.3192919
244;245;245;1.518708;2723.70658969879;2.998166;766.015625953674;1.479458
245;246;246;1.593208;2725.22529768944;0.744167;769.013792037964;-0.849041
246;247;247;1.396833;2726.8185056448;1.488791;769.757959008217;0.09195805
247;248;248;1.508041;2728.21533858776;1.936125;771.246749997139;0.428084
248;249;249;1.777958;2729.72337961197;3.119542;773.182875037193;1.341584
249;250;250;1.636667;2731.50133764744;0.9485;776.302416920662;-0.688167
250;251;251;1.486667;2733.13800466061;1.357125;777.250916898251;-0.129542
251;252;252;1.491375;2734.62467169762;1.570792;778.60804194212;0.07941699
252;253;253;1.421333;2736.1160466671;3.710958;780.178833901882;2.289625
253;254;254;1.478041;2737.53737962246;0.892791;783.88979190588;-0.5852501
254;255;255;1.386;2739.01542067528;1.936834;784.782582879066;0.5508339
255;256;256;3.079708;2740.40142071247;1.722917;786.719416856766;-1.356791
